player_ID speed_zone number_of_runs total_distance
1626168 slow 246 979.61
1626168 normal 255 1878.93
1626168 fast 14 41.38
1626169 slow 462 2085.38
1626169 normal 469 4230.64
1626169 fast 21 58.05
1626170 slow 396 1569.35
1626170 normal 406 3281.42
1626170 fast 32 100.37
1626171 slow 251 1104.5
1626171 normal 255 1992.01
1626171 fast 16 31.72
1626173 slow 196 908.13
1626173 normal 198 1917.58
1626173 fast 7 12.81
1626174 slow 63 279.83
1626174 normal 65 451.65
1626174 fast 5 16.42
1626178 slow 322 1258.66
1626178 normal 326 3006.28
1626178 fast 6 44.39
1626179 slow 10 48.79
1626179 normal 12 79.61
1626179 fast 2 8.02
1626181 slow 21 123.49
1626181 normal 24 166.17
1626181 fast 4 23.03
1626192 slow 91 443.19
1626192 normal 95 1004.95
1626192 fast 8 30.43
1626196 slow 111 493.45
1626196 normal 112 1005.71
1626196 fast 5 12.32
1626202 slow 329 1143.38
1626202 normal 337 2713.52
1626202 fast 19 58.32
1626204 slow 632 2425.97
1626204 normal 643 5904.48
1626204 fast 23 63.66
1626209 slow 502 2411.82
1626209 normal 509 5113.57
1626209 fast 32 83.67
1626242 slow 42 201.92
1626242 normal 42 439.48
1626242 fast 3 9.27
1626245 slow 27 100.09
1626245 normal 31 194.34
1626245 fast 3 8.01
1626273 slow 360 1220.71
1626273 normal 362 2757.2
1626273 fast 18 67.23
